transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00689,CHB03,  Adyar  ,Chennai,06-05-2024,2645.15,SUCCESS,WITHDRAWAL,3317,,Canara Bank@,615411.0
TXN01745,CHB03,  Adyar  ,Chennai,02-05-2024,1032.2,SUCCESS,DEPOSIT,3687,,Canara Bank@,626115.0
TXN02481,CHB03,  Adyar  ,Chennai,04-05-2024,4916.02,FAILURE,TRANSFER,1408,Network Error,Canara Bank@,630452.0
TXN02401,CHB03,  Adyar  ,Chennai,05-05-2024,2803.99,FAILURE,WITHDRAWAL,4167,Invalid Account,Canara Bank@,611395.0
TXN00568,CHB03,  Adyar  ,Chennai,01-05-2024,4796.3,SUCCESS,WITHDRAWAL,5128,,Canara Bank@,601808.0
TXN00260,CHB03,  Adyar  ,Chennai,04-05-2024,2344.15,SUCCESS,TRANSFER,3728,,Canara Bank@,635129.0
TXN02792,CHB03,  Adyar  ,Chennai,05-05-2024,932.57,FAILURE,WITHDRAWAL,7633,Invalid Account,Canara Bank@,
TXN02841,CHB03,  Adyar  ,Chennai,06-05-2024,1099.25,FAILURE,WITHDRAWAL,6621,Technical Error,Canara Bank@,638416.0
TXN00273,CHB03,  Adyar  ,Chennai,06-05-2024,3092.91,SUCCESS,WITHDRAWAL,5771,,Canara Bank@,628150.0
TXN01776,CHB03,  Adyar  ,Chennai,01-05-2024,2327.36,SUCCESS,TRANSFER,6368,,Canara Bank@,632064.0
TXN01050,CHB03,  Adyar  ,Chennai,02-05-2024,1420.88,SUCCESS,DEPOSIT,4423,,Canara Bank@,623270.0
TXN00231,CHB03,  Adyar  ,Chennai,04-05-2024,2035.03,SUCCESS,TRANSFER,9481,,Canara Bank@,634420.0
TXN02853,CHB03,  Adyar  ,Chennai,04-05-2024,3976.01,FAILURE,TRANSFER,2286,Invalid Account,Canara Bank@,613766.0
TXN00420,CHB03,  Adyar  ,Chennai,03-05-2024,3745.13,SUCCESS,TRANSFER,9467,,Canara Bank@,
TXN01162,CHB03,  Adyar  ,Chennai,04-05-2024,1239.9,SUCCESS,DEPOSIT,6371,,Canara Bank@,612230.0
TXN00367,CHB03,  Adyar  ,Chennai,03-05-2024,2376.77,SUCCESS,WITHDRAWAL,6318,,Canara Bank@,619509.0
TXN01835,CHB03,  Adyar  ,Chennai,05-05-2024,4424.87,SUCCESS,TRANSFER,5908,,Canara Bank@,626844.0
TXN02776,CHB03,  Adyar  ,Chennai,03-05-2024,4238.68,FAILURE,DEPOSIT,5916,Invalid Account,Canara Bank@,606118.0
TXN01070,CHB03,  Adyar  ,Chennai,02-05-2024,2715.69,SUCCESS,WITHDRAWAL,8023,,Canara Bank@,628533.0
TXN01540,CHB03,  Adyar  ,Chennai,02-05-2024,3921.88,SUCCESS,TRANSFER,3336,,Canara Bank@,621175.0
TXN02988,CHB03,  Adyar  ,Chennai,01-05-2024,2754.52,FAILURE,TRANSFER,4643,Insufficient Balance,Canara Bank@,614824.0
TXN00358,CHB03,  Adyar  ,Chennai,02-05-2024,3086.07,SUCCESS,WITHDRAWAL,8449,,Canara Bank@,600760.0
TXN01449,CHB03,  Adyar  ,Chennai,04-05-2024,1217.55,SUCCESS,TRANSFER,3994,,Canara Bank@,600638.0
