transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00346,CBB01,  Gandhipuram  ,Coimbatore,2024/05/06,1601.3,SUCCESS,TRANSFER,7131,,Canara Bank@,600325.0
TXN00818,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,2908.5,SUCCESS,DEPOSIT,2571,,Canara Bank@,627740.0
TXN00863,CBB01,  Gandhipuram  ,Coimbatore,07-05-2024,4312.29,SUCCESS,DEPOSIT,6775,,Canara Bank@,621723.0
TXN02584,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,4454.69,FAILURE,TRANSFER,5792,Network Error,Canara Bank@,620909.0
TXN00372,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,1969.65,SUCCESS,DEPOSIT,3404,,Canara Bank@,639935.0
TXN01033,CBB01,  Gandhipuram  ,Coimbatore,07-05-2024,3309.79,SUCCESS,TRANSFER,9615,,Canara Bank@,612109.0
TXN02566,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,4829.3,FAILURE,TRANSFER,1609,Network Error,Canara Bank@,630317.0
TXN00354,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,2228.3,SUCCESS,DEPOSIT,7974,,Canara Bank@,609880.0
TXN01652,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,3615.16,SUCCESS,TRANSFER,8008,,Canara Bank@,629904.0
TXN01781,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,3112.61,SUCCESS,TRANSFER,8527,,Canara Bank@,613071.0
TXN00465,CBB01,  Gandhipuram  ,Coimbatore,07-05-2024,2877.79,SUCCESS,TRANSFER,7119,,Canara Bank@,601062.0
TXN01124,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,2532.82,SUCCESS,TRANSFER,5098,,Canara Bank@,606660.0
TXN02727,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,1841.86,FAILURE,TRANSFER,2675,Invalid Account,Canara Bank@,612162.0
TXN01405,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,1553.36,SUCCESS,WITHDRAWAL,9520,,Canara Bank@,641634.0
TXN02180,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,3874.07,FAILURE,TRANSFER,7815,Network Error,Canara Bank@,614778.0
TXN02639,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,1548.12,FAILURE,DEPOSIT,3314,Technical Error,Canara Bank@,612857.0
TXN01413,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,2689.96,SUCCESS,WITHDRAWAL,2478,,Canara Bank@,609042.0
TXN01995,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,939.66,FAILURE,WITHDRAWAL,6028,Network Error,Canara Bank@,634740.0
TXN02231,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,2189.19,FAILURE,WITHDRAWAL,6986,Network Error,Canara Bank@,606362.0
TXN02217,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,3304.76,FAILURE,TRANSFER,8051,Insufficient Balance,Canara Bank@,608720.0
TXN00952,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,4634.77,SUCCESS,WITHDRAWAL,2523,,Canara Bank@,621841.0
TXN01922,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,3288.9,SUCCESS,TRANSFER,3285,,Canara Bank@,636154.0
TXN02702,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,3418.58,FAILURE,DEPOSIT,5459,Insufficient Balance,Canara Bank@,639623.0
TXN02804,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,1958.92,FAILURE,DEPOSIT,6490,Exceeded Limit,Canara Bank@,626774.0
TXN01325,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,1718.92,SUCCESS,TRANSFER,2713,,Canara Bank@,614843.0
TXN01769,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,4236.97,SUCCESS,DEPOSIT,5709,,Canara Bank@,621825.0
TXN01306,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,4668.02,SUCCESS,TRANSFER,5637,,Canara Bank@,639966.0
TXN00054,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,1933.65,SUCCESS,DEPOSIT,6388,,Canara Bank@,614010.0
TXN00267,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,1773.9,SUCCESS,DEPOSIT,4768,,Canara Bank@,641390.0
TXN01458,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,1465.69,SUCCESS,TRANSFER,3999,,Canara Bank@,622743.0
TXN01520,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,4843.91,SUCCESS,WITHDRAWAL,4216,,Canara Bank@,620066.0
TXN02462,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,2222.52,FAILURE,DEPOSIT,8805,Insufficient Balance,Canara Bank@,602808.0
TXN02596,CBB01,  Gandhipuram  ,Coimbatore,07-05-2024,1013.08,FAILURE,WITHDRAWAL,2872,Insufficient Balance,Canara Bank@,621546.0
TXN00543,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,2554.8,SUCCESS,WITHDRAWAL,6875,,Canara Bank@,622548.0
TXN00159,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,2744.21,SUCCESS,DEPOSIT,9856,,Canara Bank@,621688.0
TXN01873,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,2254.31,SUCCESS,DEPOSIT,4041,,Canara Bank@,607862.0
TXN00494,CBB01,  Gandhipuram  ,Coimbatore,07-05-2024,616.24,SUCCESS,DEPOSIT,8708,,Canara Bank@,602243.0
TXN00735,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,2502.77,SUCCESS,TRANSFER,3613,,Canara Bank@,606373.0
TXN00242,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,4069.94,SUCCESS,TRANSFER,2218,,Canara Bank@,621438.0
TXN02863,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,1830.75,FAILURE,WITHDRAWAL,2443,Network Error,Canara Bank@,616349.0
TXN00636,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,3435.07,SUCCESS,WITHDRAWAL,7752,,Canara Bank@,603335.0
TXN00919,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,1531.49,SUCCESS,DEPOSIT,8360,,Canara Bank@,615662.0
TXN01615,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,2156.03,SUCCESS,DEPOSIT,3646,,Canara Bank@,634670.0
TXN00643,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,4692.03,SUCCESS,WITHDRAWAL,4326,,Canara Bank@,609870.0
TXN01740,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,1370.94,SUCCESS,TRANSFER,9258,,Canara Bank@,619810.0
TXN00954,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,4142.75,SUCCESS,WITHDRAWAL,9879,,Canara Bank@,607006.0
TXN00375,CBB01,  Gandhipuram  ,Coimbatore,07-05-2024,1362.4,SUCCESS,WITHDRAWAL,5967,,Canara Bank@,640343.0
TXN02046,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,1414.17,FAILURE,WITHDRAWAL,6601,Technical Error,Canara Bank@,606409.0
TXN02106,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,4698.57,FAILURE,DEPOSIT,4004,Exceeded Limit,Canara Bank@,626891.0
TXN01227,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,4258.33,SUCCESS,DEPOSIT,4441,,Canara Bank@,637390.0
TXN00091,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,1332.85,SUCCESS,TRANSFER,8811,,Canara Bank@,620010.0
TXN02461,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,1202.28,FAILURE,WITHDRAWAL,3183,Invalid Account,Canara Bank@,626549.0
TXN01569,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,2075.04,SUCCESS,DEPOSIT,8692,,Canara Bank@,626025.0
TXN01584,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,3027.58,SUCCESS,DEPOSIT,1222,,Canara Bank@,604702.0
TXN01940,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,4456.94,SUCCESS,WITHDRAWAL,9942,,Canara Bank@,628967.0
TXN01631,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,3755.91,SUCCESS,DEPOSIT,1894,,Canara Bank@,601795.0
TXN00562,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,1105.22,SUCCESS,TRANSFER,5045,,Canara Bank@,635277.0
TXN00826,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,1574.47,SUCCESS,WITHDRAWAL,8130,,Canara Bank@,637988.0
TXN02932,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,3076.64,FAILURE,TRANSFER,5543,Invalid Account,Canara Bank@,606290.0
TXN01945,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,3767.26,SUCCESS,TRANSFER,7199,,Canara Bank@,635894.0
TXN01863,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,2901.06,SUCCESS,TRANSFER,1845,,Canara Bank@,602323.0
TXN02061,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,2000.95,FAILURE,TRANSFER,6886,Technical Error,Canara Bank@,634761.0
TXN02844,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,1752.08,FAILURE,WITHDRAWAL,4964,Technical Error,Canara Bank@,635064.0
TXN00723,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,3658.21,SUCCESS,TRANSFER,7031,,Canara Bank@,633368.0
TXN01659,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,763.2,SUCCESS,TRANSFER,7776,,Canara Bank@,616971.0
TXN02591,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,3242.3,FAILURE,TRANSFER,7187,Technical Error,Canara Bank@,
TXN02058,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,2717.19,FAILURE,WITHDRAWAL,4248,Network Error,Canara Bank@,615367.0
TXN02258,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,3416.02,FAILURE,WITHDRAWAL,8753,Invalid Account,Canara Bank@,633184.0
TXN02912,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,2314.86,FAILURE,TRANSFER,7992,Network Error,Canara Bank@,600521.0
TXN01959,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,1444.35,FAILURE,WITHDRAWAL,2913,Network Error,Canara Bank@,607009.0
TXN02890,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,3412.19,FAILURE,DEPOSIT,1377,Insufficient Balance,Canara Bank@,606403.0
TXN01283,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,1473.28,SUCCESS,WITHDRAWAL,1804,,Canara Bank@,631787.0
TXN01480,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,568.55,SUCCESS,DEPOSIT,1652,,Canara Bank@,627641.0
TXN00132,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,1849.66,SUCCESS,WITHDRAWAL,4015,,Canara Bank@,615397.0
TXN01263,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,3167.36,SUCCESS,TRANSFER,2772,,Canara Bank@,622461.0
TXN01993,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,957.86,FAILURE,WITHDRAWAL,4335,Insufficient Balance,Canara Bank@,632771.0
TXN00149,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,4310.61,SUCCESS,DEPOSIT,8234,,Canara Bank@,624532.0
TXN02076,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,2299.88,FAILURE,WITHDRAWAL,2816,Exceeded Limit,Canara Bank@,603598.0
TXN00730,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,3317.53,SUCCESS,TRANSFER,5134,,Canara Bank@,614209.0
TXN01419,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,2458.03,SUCCESS,TRANSFER,3071,,Canara Bank@,600190.0
TXN02995,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,1747.72,FAILURE,DEPOSIT,6441,Network Error,Canara Bank@,604390.0
TXN01595,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,3072.08,SUCCESS,TRANSFER,8045,,Canara Bank@,640653.0
TXN00509,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,1756.87,SUCCESS,TRANSFER,6527,,Canara Bank@,622103.0
TXN02922,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,4507.39,FAILURE,WITHDRAWAL,5379,Exceeded Limit,Canara Bank@,641484.0
TXN00379,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,1432.11,SUCCESS,WITHDRAWAL,3126,,Canara Bank@,618008.0
TXN02842,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,3388.57,FAILURE,DEPOSIT,5525,Network Error,Canara Bank@,615249.0
TXN01242,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,3492.16,SUCCESS,DEPOSIT,3459,,Canara Bank@,639081.0
TXN02102,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,2544.9,FAILURE,TRANSFER,7308,Insufficient Balance,Canara Bank@,619010.0
TXN01489,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,4105.19,SUCCESS,DEPOSIT,4697,,Canara Bank@,636093.0
TXN01994,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,2229.23,FAILURE,WITHDRAWAL,8875,Technical Error,Canara Bank@,615066.0
TXN01744,CBB01,  Gandhipuram  ,Coimbatore,07-05-2024,3222.18,SUCCESS,TRANSFER,9433,,Canara Bank@,625854.0
TXN02143,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,3245.2,FAILURE,TRANSFER,8354,Insufficient Balance,Canara Bank@,
TXN01653,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,4351.56,SUCCESS,DEPOSIT,8837,,Canara Bank@,639956.0
TXN00259,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,2684.77,SUCCESS,DEPOSIT,6567,,Canara Bank@,641699.0
TXN02526,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,1787.3,FAILURE,DEPOSIT,6104,Network Error,Canara Bank@,601414.0
TXN02173,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,1235.15,FAILURE,DEPOSIT,2188,Network Error,Canara Bank@,631599.0
TXN00918,CBB01,  Gandhipuram  ,Coimbatore,07-05-2024,1532.63,SUCCESS,TRANSFER,5163,,Canara Bank@,625875.0
TXN01221,CBB01,  Gandhipuram  ,Coimbatore,05-05-2024,1347.98,SUCCESS,DEPOSIT,1728,,Canara Bank@,617388.0
TXN02134,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,2385.27,FAILURE,DEPOSIT,7930,Technical Error,Canara Bank@,607362.0
TXN02338,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,4638.86,FAILURE,DEPOSIT,3496,Network Error,Canara Bank@,621149.0
TXN02018,CBB01,  Gandhipuram  ,Coimbatore,01-05-2024,2400.36,FAILURE,DEPOSIT,2170,Exceeded Limit,Canara Bank@,630445.0
TXN02255,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,2203.03,FAILURE,DEPOSIT,6489,Technical Error,Canara Bank@,620526.0
TXN02951,CBB01,  Gandhipuram  ,Coimbatore,04-05-2024,957.93,FAILURE,WITHDRAWAL,8284,Insufficient Balance,Canara Bank@,616678.0
TXN01265,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,742.47,SUCCESS,TRANSFER,4755,,Canara Bank@,621768.0
TXN01545,CBB01,  Gandhipuram  ,Coimbatore,03-05-2024,3995.38,SUCCESS,WITHDRAWAL,4497,,Canara Bank@,603660.0
TXN02558,CBB01,  Gandhipuram  ,Coimbatore,07-05-2024,3438.88,FAILURE,DEPOSIT,2268,Insufficient Balance,Canara Bank@,621745.0
TXN01081,CBB01,  Gandhipuram  ,Coimbatore,02-05-2024,1551.86,SUCCESS,WITHDRAWAL,3033,,Canara Bank@,603500.0
TXN02786,CBB01,  Gandhipuram  ,Coimbatore,06-05-2024,2870.65,FAILURE,WITHDRAWAL,5168,Insufficient Balance,Canara Bank@,633275.0
