transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00046,CBB02,  RS Puram  ,Coimbatore,03-05-2024,1278.32,SUCCESS,TRANSFER,5605,,Canara Bank@,625745.0
TXN02067,CBB02,  RS Puram  ,Coimbatore,05-05-2024,2350.35,FAILURE,TRANSFER,5127,Network Error,Canara Bank@,600834.0
TXN00124,CBB02,  RS Puram  ,Coimbatore,04-05-2024,3515.36,SUCCESS,WITHDRAWAL,9487,,Canara Bank@,630162.0
TXN02810,CBB02,  RS Puram  ,Coimbatore,05-05-2024,3410.71,FAILURE,TRANSFER,5005,Exceeded Limit,Canara Bank@,636654.0
TXN02006,CBB02,  RS Puram  ,Coimbatore,05-05-2024,2381.54,FAILURE,DEPOSIT,6363,Technical Error,Canara Bank@,629451.0
TXN00155,CBB02,  RS Puram  ,Coimbatore,06-05-2024,3784.9,SUCCESS,TRANSFER,9653,,Canara Bank@,632518.0
TXN00061,CBB02,  RS Puram  ,Coimbatore,07-05-2024,4850.84,SUCCESS,DEPOSIT,9740,,Canara Bank@,634572.0
TXN02010,CBB02,  RS Puram  ,Coimbatore,07-05-2024,1314.17,FAILURE,DEPOSIT,7593,Network Error,Canara Bank@,629848.0
TXN00860,CBB02,  RS Puram  ,Coimbatore,04-05-2024,1086.86,SUCCESS,DEPOSIT,5020,,Canara Bank@,609538.0
TXN00254,CBB02,  RS Puram  ,Coimbatore,06-05-2024,2411.89,SUCCESS,DEPOSIT,8614,,Canara Bank@,620900.0
TXN02583,CBB02,  RS Puram  ,Coimbatore,05-05-2024,4392.63,FAILURE,DEPOSIT,8926,Exceeded Limit,Canara Bank@,630746.0
TXN01689,CBB02,  RS Puram  ,Coimbatore,04-05-2024,3507.69,SUCCESS,DEPOSIT,7694,,Canara Bank@,611296.0
TXN02438,CBB02,  RS Puram  ,Coimbatore,01-05-2024,1177.35,FAILURE,TRANSFER,7835,Exceeded Limit,Canara Bank@,607804.0
TXN01518,CBB02,  RS Puram  ,Coimbatore,06-05-2024,2273.01,SUCCESS,DEPOSIT,2378,,Canara Bank@,637378.0
TXN02005,CBB02,  RS Puram  ,Coimbatore,03-05-2024,527.12,FAILURE,DEPOSIT,9598,Technical Error,Canara Bank@,609489.0
TXN00320,CBB02,  RS Puram  ,Coimbatore,06-05-2024,3860.73,SUCCESS,DEPOSIT,6098,,Canara Bank@,617942.0
TXN01828,CBB02,  RS Puram  ,Coimbatore,05-05-2024,2693.05,SUCCESS,DEPOSIT,6850,,Canara Bank@,622723.0
TXN00058,CBB02,  RS Puram  ,Coimbatore,02-05-2024,723.47,SUCCESS,WITHDRAWAL,9169,,Canara Bank@,603067.0
TXN02694,CBB02,  RS Puram  ,Coimbatore,07-05-2024,3283.49,FAILURE,DEPOSIT,2604,Technical Error,Canara Bank@,636042.0
TXN00235,CBB02,  RS Puram  ,Coimbatore,01-05-2024,1795.29,SUCCESS,WITHDRAWAL,8191,,Canara Bank@,614657.0
TXN00384,CBB02,  RS Puram  ,Coimbatore,04-05-2024,4344.6,SUCCESS,WITHDRAWAL,4451,,Canara Bank@,634881.0
TXN02114,CBB02,  RS Puram  ,Coimbatore,02-05-2024,4275.21,FAILURE,DEPOSIT,7589,Network Error,Canara Bank@,637872.0
TXN00705,CBB02,  RS Puram  ,Coimbatore,02-05-2024,1832.47,SUCCESS,DEPOSIT,7904,,Canara Bank@,605159.0
TXN01627,CBB02,  RS Puram  ,Coimbatore,01-05-2024,3610.72,SUCCESS,DEPOSIT,8843,,Canara Bank@,602842.0
TXN02009,CBB02,  RS Puram  ,Coimbatore,04-05-2024,4327.42,FAILURE,TRANSFER,1452,Network Error,Canara Bank@,634536.0
TXN01657,CBB02,  RS Puram  ,Coimbatore,01-05-2024,1071.75,SUCCESS,WITHDRAWAL,8511,,Canara Bank@,604464.0
TXN00750,CBB02,  RS Puram  ,Coimbatore,07-05-2024,3526.96,SUCCESS,WITHDRAWAL,9884,,Canara Bank@,626728.0
TXN02039,CBB02,  RS Puram  ,Coimbatore,05-05-2024,1371.38,FAILURE,DEPOSIT,4157,Network Error,Canara Bank@,619304.0
TXN00577,CBB02,  RS Puram  ,Coimbatore,01-05-2024,1900.38,SUCCESS,DEPOSIT,8051,,Canara Bank@,616516.0
TXN02193,CBB02,  RS Puram  ,Coimbatore,05-05-2024,3640.17,FAILURE,DEPOSIT,7260,Invalid Account,Canara Bank@,628661.0
TXN02088,CBB02,  RS Puram  ,Coimbatore,02-05-2024,1709.01,FAILURE,WITHDRAWAL,6492,Network Error,Canara Bank@,632833.0
TXN02131,CBB02,  RS Puram  ,Coimbatore,05-05-2024,1245.22,FAILURE,WITHDRAWAL,3848,Invalid Account,Canara Bank@,619605.0
TXN01530,CBB02,  RS Puram  ,Coimbatore,03-05-2024,3500.2,SUCCESS,WITHDRAWAL,9710,,Canara Bank@,615457.0
TXN02784,CBB02,  RS Puram  ,Coimbatore,05-05-2024,3851.06,FAILURE,WITHDRAWAL,7719,Network Error,Canara Bank@,613211.0
TXN00837,CBB02,  RS Puram  ,Coimbatore,02-05-2024,1486.12,SUCCESS,TRANSFER,9473,,Canara Bank@,639263.0
TXN00809,CBB02,  RS Puram  ,Coimbatore,07-05-2024,2582.11,SUCCESS,TRANSFER,3841,,Canara Bank@,607682.0
TXN02202,CBB02,  RS Puram  ,Coimbatore,02-05-2024,581.4,FAILURE,DEPOSIT,8706,Insufficient Balance,Canara Bank@,631199.0
TXN01990,CBB02,  RS Puram  ,Coimbatore,04-05-2024,4343.37,FAILURE,TRANSFER,1747,Technical Error,Canara Bank@,630269.0
TXN02906,CBB02,  RS Puram  ,Coimbatore,01-05-2024,1539.73,FAILURE,TRANSFER,4287,Insufficient Balance,Canara Bank@,631299.0
TXN01559,CBB02,  RS Puram  ,Coimbatore,03-05-2024,2584.02,SUCCESS,DEPOSIT,2964,,Canara Bank@,627881.0
TXN01109,CBB02,  RS Puram  ,Coimbatore,07-05-2024,3332.92,SUCCESS,DEPOSIT,8263,,Canara Bank@,626945.0
TXN02914,CBB02,  RS Puram  ,Coimbatore,07-05-2024,669.38,FAILURE,TRANSFER,6362,Technical Error,Canara Bank@,631156.0
TXN02144,CBB02,  RS Puram  ,Coimbatore,04-05-2024,1932.1,FAILURE,TRANSFER,6051,Insufficient Balance,Canara Bank@,623065.0
TXN01742,CBB02,  RS Puram  ,Coimbatore,04-05-2024,3798.84,SUCCESS,TRANSFER,9736,,Canara Bank@,607001.0
TXN01412,CBB02,  RS Puram  ,Coimbatore,01-05-2024,4027.84,SUCCESS,WITHDRAWAL,6498,,Canara Bank@,633456.0
TXN00590,CBB02,  RS Puram  ,Coimbatore,07-05-2024,2319.28,SUCCESS,WITHDRAWAL,1960,,Canara Bank@,631486.0
TXN00108,CBB02,  RS Puram  ,Coimbatore,04-05-2024,3564.15,SUCCESS,TRANSFER,5747,,Canara Bank@,640882.0
TXN00233,CBB02,  RS Puram  ,Coimbatore,02-05-2024,688.7,SUCCESS,TRANSFER,4451,,Canara Bank@,628216.0
TXN00698,CBB02,  RS Puram  ,Coimbatore,05-05-2024,1947.45,SUCCESS,TRANSFER,9043,,Canara Bank@,630323.0
TXN01347,CBB02,  RS Puram  ,Coimbatore,07-05-2024,4091.86,SUCCESS,WITHDRAWAL,8837,,Canara Bank@,631061.0
TXN01023,CBB02,  RS Puram  ,Coimbatore,01-05-2024,2955.99,SUCCESS,DEPOSIT,9847,,Canara Bank@,631247.0
