transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN01194,CBB04,  Saibaba Colony  ,Coimbatore,06-05-2024,4772.56,SUCCESS,TRANSFER,7771,,Canara Bank@,609812.0
TXN02222,CBB04,  Saibaba Colony  ,Coimbatore,02-05-2024,4401.3,FAILURE,TRANSFER,7078,Network Error,Canara Bank@,608084.0
TXN00449,CBB04,  Saibaba Colony  ,Coimbatore,05-05-2024,2270.94,SUCCESS,WITHDRAWAL,1092,,Canara Bank@,626482.0
TXN02515,CBB04,  Saibaba Colony  ,Coimbatore,04-05-2024,4622.22,FAILURE,TRANSFER,2236,Invalid Account,Canara Bank@,621726.0
TXN02297,CBB04,  Saibaba Colony  ,Coimbatore,03-05-2024,4945.36,,DEPOSIT,6273,Exceeded Limit,Canara Bank@,641958.0
TXN02536,CBB04,  Saibaba Colony  ,Coimbatore,03-05-2024,4686.59,FAILURE,WITHDRAWAL,8688,Exceeded Limit,Canara Bank@,617052.0
TXN01751,CBB04,  Saibaba Colony  ,Coimbatore,07-05-2024,,SUCCESS,DEPOSIT,8324,,Canara Bank@,624285.0
TXN00169,CBB04,  Saibaba Colony  ,Coimbatore,03-05-2024,4016.94,SUCCESS,DEPOSIT,1351,,Canara Bank@,603628.0
TXN01161,CBB04,  Saibaba Colony  ,Coimbatore,07-05-2024,4398.68,SUCCESS,DEPOSIT,9948,,Canara Bank@,637526.0
TXN01339,CBB04,  Saibaba Colony  ,Coimbatore,01-05-2024,1970.94,SUCCESS,WITHDRAWAL,5294,,Canara Bank@,610606.0
TXN01091,CBB04,  Saibaba Colony  ,Coimbatore,05-05-2024,3019.32,SUCCESS,DEPOSIT,7681,,Canara Bank@,640778.0
TXN02109,CBB04,  Saibaba Colony  ,Coimbatore,07-05-2024,1423.61,FAILURE,WITHDRAWAL,4348,Invalid Account,Canara Bank@,611087.0
TXN01272,CBB04,  Saibaba Colony  ,Coimbatore,07-05-2024,1170.11,SUCCESS,WITHDRAWAL,2049,,Canara Bank@,634382.0
TXN00632,CBB04,  Saibaba Colony  ,Coimbatore,06-05-2024,2535.4,SUCCESS,WITHDRAWAL,8594,,Canara Bank@,623827.0
