transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN02426,MDB05,  Tallakulam  ,Madurai,07-05-2024,4129.37,FAILURE,TRANSFER,5924,Insufficient Balance,Canara Bank@,614106.0
TXN01005,MDB05,  Tallakulam  ,Madurai,06-05-2024,2997.49,SUCCESS,TRANSFER,9697,,Canara Bank@,638777.0
TXN00104,MDB05,  Tallakulam  ,Madurai,04-05-2024,4942.99,SUCCESS,TRANSFER,3866,,Canara Bank@,617388.0
TXN01621,MDB05,  Tallakulam  ,Madurai,05-05-2024,1600.65,SUCCESS,TRANSFER,4972,,Canara Bank@,616940.0
TXN00316,MDB05,  Tallakulam  ,Madurai,06-05-2024,575.04,SUCCESS,TRANSFER,6185,,Canara Bank@,611090.0
TXN01459,MDB05,  Tallakulam  ,Madurai,03-05-2024,2480.7,SUCCESS,TRANSFER,6567,,Canara Bank@,602097.0
TXN00674,MDB05,  Tallakulam  ,Madurai,03-05-2024,3206.99,SUCCESS,TRANSFER,5676,,Canara Bank@,614304.0
TXN01316,MDB05,  Tallakulam  ,Madurai,06-05-2024,4166.89,SUCCESS,DEPOSIT,7674,,Canara Bank@,607076.0
TXN01011,MDB05,  Tallakulam  ,Madurai,06-05-2024,3819.26,SUCCESS,DEPOSIT,1865,,Canara Bank@,633945.0
TXN02700,MDB05,  Tallakulam  ,Madurai,02-05-2024,3022.08,FAILURE,TRANSFER,1560,Network Error,Canara Bank@,620296.0
TXN02213,MDB05,  Tallakulam  ,Madurai,05-05-2024,1043.07,FAILURE,DEPOSIT,1717,Technical Error,Canara Bank@,607751.0
TXN02730,MDB05,  Tallakulam  ,Madurai,04-05-2024,3169.2,FAILURE,WITHDRAWAL,1357,Network Error,Canara Bank@,624734.0
TXN01014,MDB05,  Tallakulam  ,Madurai,01-05-2024,1668.46,SUCCESS,WITHDRAWAL,9993,,Canara Bank@,608925.0
TXN00626,MDB05,  Tallakulam  ,Madurai,04-05-2024,2523.52,SUCCESS,TRANSFER,4893,,Canara Bank@,632150.0
TXN01390,MDB05,  Tallakulam  ,Madurai,07-05-2024,3545.31,SUCCESS,TRANSFER,7328,,Canara Bank@,607976.0
TXN02854,MDB05,  Tallakulam  ,Madurai,07-05-2024,2920.84,FAILURE,TRANSFER,3749,Insufficient Balance,Canara Bank@,632045.0
TXN01527,MDB05,  Tallakulam  ,Madurai,01-05-2024,3829.57,SUCCESS,WITHDRAWAL,3416,,Canara Bank@,641909.0
TXN00376,MDB05,  Tallakulam  ,Madurai,07-05-2024,4071.76,SUCCESS,TRANSFER,1800,,Canara Bank@,624526.0
TXN01013,MDB05,  Tallakulam  ,Madurai,01-05-2024,1586.73,SUCCESS,TRANSFER,2369,,Canara Bank@,622225.0
TXN02531,MDB05,  Tallakulam  ,Madurai,02-05-2024,4106.51,FAILURE,WITHDRAWAL,7762,Invalid Account,Canara Bank@,637364.0
TXN00569,MDB05,  Tallakulam  ,Madurai,04-05-2024,2438.74,SUCCESS,DEPOSIT,7492,,Canara Bank@,614104.0
TXN01831,MDB05,  Tallakulam  ,Madurai,04-05-2024,4985.46,SUCCESS,TRANSFER,7196,,Canara Bank@,626861.0
TXN00591,MDB05,  Tallakulam  ,Madurai,01-05-2024,4314.98,SUCCESS,DEPOSIT,6251,,Canara Bank@,634560.0
TXN01968,MDB05,  Tallakulam  ,Madurai,07-05-2024,3146.35,FAILURE,WITHDRAWAL,5117,Exceeded Limit,Canara Bank@,632140.0
TXN01693,MDB05,  Tallakulam  ,Madurai,07-05-2024,4331.0,SUCCESS,DEPOSIT,5466,,Canara Bank@,637611.0
TXN01574,MDB05,  Tallakulam  ,Madurai,06-05-2024,4828.59,SUCCESS,TRANSFER,2468,,Canara Bank@,632309.0
TXN00555,MDB05,  Tallakulam  ,Madurai,01-05-2024,1957.26,SUCCESS,DEPOSIT,8250,,Canara Bank@,602673.0
TXN00296,MDB05,  Tallakulam  ,Madurai,06-05-2024,3467.15,SUCCESS,DEPOSIT,3497,,Canara Bank@,606749.0
TXN02407,MDB05,  Tallakulam  ,Madurai,01-05-2024,3288.15,FAILURE,WITHDRAWAL,7823,Invalid Account,Canara Bank@,606897.0
TXN01223,MDB05,  Tallakulam  ,Madurai,07-05-2024,3060.15,SUCCESS,WITHDRAWAL,4450,,Canara Bank@,624393.0
TXN01709,MDB05,  Tallakulam  ,Madurai,01-05-2024,3432.59,SUCCESS,TRANSFER,4263,,Canara Bank@,607268.0
TXN01380,MDB05,  Tallakulam  ,Madurai,01-05-2024,1877.34,SUCCESS,WITHDRAWAL,8884,,Canara Bank@,637931.0
TXN02219,MDB05,  Tallakulam  ,Madurai,02-05-2024,697.3,FAILURE,WITHDRAWAL,5612,Invalid Account,Canara Bank@,621587.0
TXN01193,MDB05,  Tallakulam  ,Madurai,06-05-2024,2707.83,SUCCESS,WITHDRAWAL,4638,,Canara Bank@,627727.0
TXN00196,MDB05,  Tallakulam  ,Madurai,01-05-2024,1059.38,SUCCESS,TRANSFER,6259,,Canara Bank@,617336.0
TXN01205,MDB05,  Tallakulam  ,Madurai,02-05-2024,3783.0,SUCCESS,WITHDRAWAL,1869,,Canara Bank@,636004.0
TXN02935,MDB05,  Tallakulam  ,Madurai,04-05-2024,1724.51,FAILURE,WITHDRAWAL,8116,Invalid Account,Canara Bank@,624854.0
TXN02292,MDB05,  Tallakulam  ,Madurai,02-05-2024,636.79,FAILURE,TRANSFER,5554,Insufficient Balance,Canara Bank@,613933.0
TXN01438,MDB05,  Tallakulam  ,Madurai,02-05-2024,4898.32,SUCCESS,DEPOSIT,6093,,Canara Bank@,635286.0
TXN01085,MDB05,  Tallakulam  ,Madurai,05-05-2024,4741.66,SUCCESS,WITHDRAWAL,7158,,Canara Bank@,619426.0
