transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN01797,CHB05,  Tambaram  ,Chennai,05-05-2024,2993.47,SUCCESS,WITHDRAWAL,4733,,Canara Bank@,637844.0
TXN00024,CHB05,  Tambaram  ,Chennai,04-05-2024,1588.24,SUCCESS,WITHDRAWAL,4156,,Canara Bank@,640388.0
TXN01342,CHB05,  Tambaram  ,Chennai,07-05-2024,3238.75,SUCCESS,WITHDRAWAL,3143,,Canara Bank@,615894.0
TXN01602,CHB05,  Tambaram  ,Chennai,01-05-2024,3334.84,SUCCESS,WITHDRAWAL,6387,,Canara Bank@,620236.0
TXN02949,CHB05,  Tambaram  ,Chennai,07-05-2024,4590.87,FAILURE,TRANSFER,2926,Network Error,Canara Bank@,626906.0
TXN00174,CHB05,  Tambaram  ,Chennai,01-05-2024,1522.07,SUCCESS,TRANSFER,9785,,Canara Bank@,637228.0
TXN02598,CHB05,  Tambaram  ,Chennai,01-05-2024,1105.48,FAILURE,WITHDRAWAL,4423,Invalid Account,Canara Bank@,630719.0
TXN00553,CHB05,  Tambaram  ,Chennai,06-05-2024,2320.87,SUCCESS,WITHDRAWAL,3388,,Canara Bank@,622293.0
TXN00408,CHB05,  Tambaram  ,Chennai,06-05-2024,4951.44,SUCCESS,TRANSFER,1388,,Canara Bank@,628739.0
TXN00490,CHB05,  Tambaram  ,Chennai,07-05-2024,1444.22,SUCCESS,TRANSFER,5801,,Canara Bank@,624360.0
TXN01020,CHB05,  Tambaram  ,Chennai,01-05-2024,871.85,SUCCESS,DEPOSIT,8877,,Canara Bank@,606440.0
TXN00434,CHB05,  Tambaram  ,Chennai,05-05-2024,1467.47,SUCCESS,WITHDRAWAL,5914,,Canara Bank@,637312.0
TXN02888,CHB05,  Tambaram  ,Chennai,05-05-2024,2714.62,FAILURE,TRANSFER,9363,Exceeded Limit,Canara Bank@,624964.0
TXN01672,CHB05,  Tambaram  ,Chennai,03-05-2024,3808.48,SUCCESS,DEPOSIT,9093,,Canara Bank@,606687.0
TXN02510,CHB05,  Tambaram  ,Chennai,01-05-2024,509.28,FAILURE,TRANSFER,1355,Network Error,Canara Bank@,638127.0
TXN00718,CHB05,  Tambaram  ,Chennai,01-05-2024,736.17,SUCCESS,TRANSFER,4694,,Canara Bank@,631372.0
TXN01515,CHB05,  Tambaram  ,Chennai,04-05-2024,2263.47,SUCCESS,DEPOSIT,2329,,Canara Bank@,613306.0
TXN02116,CHB05,  Tambaram  ,Chennai,07-05-2024,2914.29,FAILURE,DEPOSIT,9036,Insufficient Balance,Canara Bank@,636822.0
TXN01026,CHB05,  Tambaram  ,Chennai,04-05-2024,2602.91,SUCCESS,DEPOSIT,1800,,Canara Bank@,600184.0
TXN00941,CHB05,  Tambaram  ,Chennai,02-05-2024,2630.43,SUCCESS,TRANSFER,6582,,Canara Bank@,607849.0
TXN00459,CHB05,  Tambaram  ,Chennai,03-05-2024,3083.4,SUCCESS,TRANSFER,2441,,Canara Bank@,628722.0
