transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00877,MDB03,  Thirunagar  ,Madurai,05.05.2024,1200.19,SUCCESS,TRANSFER,9520,,Canara Bank@,618283.0
TXN00983,MDB03,  Thirunagar  ,Madurai,06-05-2024,3938.73,SUCCESS,WITHDRAWAL,5455,,Canara Bank@,
TXN02580,MDB03,  Thirunagar  ,Madurai,07-05-2024,3823.94,FAILURE,DEPOSIT,3696,Invalid Account,Canara Bank@,608244.0
TXN00116,MDB03,  Thirunagar  ,Madurai,02-05-2024,3037.58,SUCCESS,TRANSFER,6283,,Canara Bank@,637891.0
TXN02946,MDB03,  Thirunagar  ,Madurai,02-05-2024,1570.04,FAILURE,DEPOSIT,9788,Invalid Account,Canara Bank@,624438.0
TXN00335,MDB03,  Thirunagar  ,Madurai,07-05-2024,4554.61,SUCCESS,DEPOSIT,7904,,Canara Bank@,631163.0
TXN00064,MDB03,  Thirunagar  ,Madurai,04-05-2024,3255.44,SUCCESS,WITHDRAWAL,5889,,Canara Bank@,629792.0
TXN00461,MDB03,  Thirunagar  ,Madurai,06-05-2024,598.33,SUCCESS,DEPOSIT,6143,,Canara Bank@,623674.0
TXN01089,MDB03,  Thirunagar  ,Madurai,05-05-2024,3284.53,SUCCESS,DEPOSIT,3869,,Canara Bank@,612477.0
TXN01212,MDB03,  Thirunagar  ,Madurai,06-05-2024,4838.68,SUCCESS,TRANSFER,9850,,Canara Bank@,613317.0
TXN02873,MDB03,  Thirunagar  ,Madurai,02-05-2024,4100.28,FAILURE,DEPOSIT,7627,Technical Error,Canara Bank@,609267.0
TXN00978,MDB03,  Thirunagar  ,Madurai,05-05-2024,1646.65,SUCCESS,DEPOSIT,5453,,Canara Bank@,633849.0
TXN02177,MDB03,  Thirunagar  ,Madurai,07-05-2024,3299.06,FAILURE,TRANSFER,2162,Technical Error,Canara Bank@,612995.0
TXN01735,MDB03,  Thirunagar  ,Madurai,02-05-2024,3106.99,SUCCESS,TRANSFER,1368,,Canara Bank@,629167.0
TXN00721,MDB03,  Thirunagar  ,Madurai,04-05-2024,605.81,SUCCESS,TRANSFER,7798,,Canara Bank@,636047.0
TXN02045,MDB03,  Thirunagar  ,Madurai,03-05-2024,1220.24,FAILURE,DEPOSIT,7290,Network Error,Canara Bank@,639014.0
TXN00258,MDB03,  Thirunagar  ,Madurai,04-05-2024,2261.2,SUCCESS,WITHDRAWAL,7966,,Canara Bank@,626128.0
TXN01726,MDB03,  Thirunagar  ,Madurai,07-05-2024,3119.01,SUCCESS,DEPOSIT,9818,,Canara Bank@,634253.0
TXN01816,MDB03,  Thirunagar  ,Madurai,02-05-2024,1069.41,SUCCESS,WITHDRAWAL,1327,,Canara Bank@,607966.0
TXN02762,MDB03,  Thirunagar  ,Madurai,03-05-2024,4468.68,FAILURE,TRANSFER,9820,Exceeded Limit,Canara Bank@,608888.0
TXN02587,MDB03,  Thirunagar  ,Madurai,02-05-2024,1370.58,FAILURE,TRANSFER,5755,Exceeded Limit,Canara Bank@,614196.0
TXN01426,MDB03,  Thirunagar  ,Madurai,06-05-2024,2536.81,SUCCESS,DEPOSIT,3232,,Canara Bank@,627505.0
TXN01517,MDB03,  Thirunagar  ,Madurai,07-05-2024,2379.58,SUCCESS,WITHDRAWAL,8544,,Canara Bank@,602660.0
TXN01474,MDB03,  Thirunagar  ,Madurai,03-05-2024,3114.74,SUCCESS,WITHDRAWAL,4686,,Canara Bank@,601345.0
TXN02953,MDB03,  Thirunagar  ,Madurai,06-05-2024,1937.04,FAILURE,WITHDRAWAL,1683,Technical Error,Canara Bank@,614206.0
TXN00757,MDB03,  Thirunagar  ,Madurai,04-05-2024,1026.15,SUCCESS,TRANSFER,7116,,Canara Bank@,635944.0
TXN00331,MDB03,  Thirunagar  ,Madurai,02-05-2024,2039.82,SUCCESS,TRANSFER,5406,,Canara Bank@,605948.0
TXN01137,MDB03,  Thirunagar  ,Madurai,03-05-2024,3532.47,SUCCESS,DEPOSIT,7444,,Canara Bank@,623989.0
TXN02667,MDB03,  Thirunagar  ,Madurai,02-05-2024,854.01,FAILURE,TRANSFER,2647,Insufficient Balance,Canara Bank@,609322.0
TXN00687,MDB03,  Thirunagar  ,Madurai,02-05-2024,1354.76,SUCCESS,TRANSFER,9177,,Canara Bank@,628368.0
TXN02424,MDB03,  Thirunagar  ,Madurai,07-05-2024,1148.67,FAILURE,TRANSFER,3694,Exceeded Limit,Canara Bank@,619434.0
TXN01824,MDB03,  Thirunagar  ,Madurai,05-05-2024,3742.81,SUCCESS,WITHDRAWAL,5019,,Canara Bank@,613697.0
TXN00972,MDB03,  Thirunagar  ,Madurai,02-05-2024,2360.32,SUCCESS,WITHDRAWAL,3305,,Canara Bank@,618576.0
TXN01001,MDB03,  Thirunagar  ,Madurai,07-05-2024,3590.42,SUCCESS,DEPOSIT,2036,,Canara Bank@,610425.0
TXN00290,MDB03,  Thirunagar  ,Madurai,04-05-2024,2582.96,SUCCESS,WITHDRAWAL,3217,,Canara Bank@,610764.0
TXN00324,MDB03,  Thirunagar  ,Madurai,04-05-2024,865.74,SUCCESS,TRANSFER,5042,,Canara Bank@,620171.0
TXN02100,MDB03,  Thirunagar  ,Madurai,07-05-2024,2828.88,FAILURE,TRANSFER,1549,Insufficient Balance,Canara Bank@,609775.0
TXN00699,MDB03,  Thirunagar  ,Madurai,01-05-2024,2522.68,SUCCESS,DEPOSIT,5525,,Canara Bank@,609378.0
TXN02517,MDB03,  Thirunagar  ,Madurai,07-05-2024,2087.35,FAILURE,TRANSFER,2710,Insufficient Balance,Canara Bank@,629581.0
TXN01770,MDB03,  Thirunagar  ,Madurai,02-05-2024,957.32,SUCCESS,TRANSFER,1923,,Canara Bank@,600218.0
TXN01018,MDB03,  Thirunagar  ,Madurai,07-05-2024,2019.57,SUCCESS,DEPOSIT,1188,,Canara Bank@,601791.0
TXN00554,MDB03,  Thirunagar  ,Madurai,04-05-2024,1098.65,SUCCESS,WITHDRAWAL,2697,,Canara Bank@,619262.0
TXN01556,MDB03,  Thirunagar  ,Madurai,07-05-2024,1186.25,SUCCESS,WITHDRAWAL,9798,,Canara Bank@,604122.0
TXN02029,MDB03,  Thirunagar  ,Madurai,03-05-2024,4897.54,FAILURE,TRANSFER,9015,Invalid Account,Canara Bank@,640858.0
TXN01947,MDB03,  Thirunagar  ,Madurai,02-05-2024,2106.13,SUCCESS,TRANSFER,3819,,Canara Bank@,601127.0
TXN01168,MDB03,  Thirunagar  ,Madurai,07-05-2024,2694.96,SUCCESS,TRANSFER,5707,,Canara Bank@,617152.0
TXN00422,MDB03,  Thirunagar  ,Madurai,05-05-2024,2184.63,SUCCESS,WITHDRAWAL,3770,,Canara Bank@,634422.0
TXN02410,MDB03,  Thirunagar  ,Madurai,06-05-2024,1549.96,FAILURE,DEPOSIT,7680,Network Error,Canara Bank@,641537.0
TXN00244,MDB03,  Thirunagar  ,Madurai,01-05-2024,2450.2,SUCCESS,TRANSFER,9540,,Canara Bank@,620810.0
