transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00018,MDB01,  Anna Nagar  ,Madurai,06-05-2024,2498.47,SUCCESS,TRANSFER,1534,,Canara Bank@,619000.0
TXN01071,MDB01,  Anna Nagar  ,Madurai,05-05-2024,3621.59,SUCCESS,DEPOSIT,3110,,Canara Bank@,627953.0
TXN02270,MDB01,  Anna Nagar  ,Madurai,02-05-2024,3582.75,FAILURE,WITHDRAWAL,3676,Network Error,Canara Bank@,612656.0
TXN01756,MDB01,  Anna Nagar  ,Madurai,05-05-2024,3925.27,SUCCESS,TRANSFER,1319,,Canara Bank@,607754.0
TXN01985,MDB01,  Anna Nagar  ,Madurai,01-05-2024,514.13,FAILURE,DEPOSIT,2941,Invalid Account,Canara Bank@,632681.0
TXN00762,MDB01,  Anna Nagar  ,Madurai,07-05-2024,1359.53,SUCCESS,DEPOSIT,1509,,Canara Bank@,619385.0
TXN00600,MDB01,  Anna Nagar  ,Madurai,02-05-2024,943.93,SUCCESS,DEPOSIT,4630,,Canara Bank@,620992.0
TXN02859,MDB01,  Anna Nagar  ,Madurai,02-05-2024,4822.33,FAILURE,DEPOSIT,5230,Exceeded Limit,Canara Bank@,612392.0
TXN00770,MDB01,  Anna Nagar  ,Madurai,01-05-2024,1604.25,SUCCESS,TRANSFER,2540,,Canara Bank@,629799.0
TXN02152,MDB01,  Anna Nagar  ,Madurai,03-05-2024,1336.98,FAILURE,TRANSFER,7339,Network Error,Canara Bank@,610865.0
TXN00734,MDB01,  Anna Nagar  ,Madurai,01-05-2024,4337.07,SUCCESS,TRANSFER,1819,,Canara Bank@,600735.0
TXN02672,MDB01,  Anna Nagar  ,Madurai,05-05-2024,1544.68,FAILURE,DEPOSIT,2284,Exceeded Limit,Canara Bank@,619952.0
TXN02027,MDB01,  Anna Nagar  ,Madurai,03-05-2024,4887.23,FAILURE,TRANSFER,8032,Insufficient Balance,Canara Bank@,608221.0
TXN02595,MDB01,  Anna Nagar  ,Madurai,04-05-2024,595.63,FAILURE,TRANSFER,5661,Exceeded Limit,Canara Bank@,615942.0
TXN00068,MDB01,  Anna Nagar  ,Madurai,03-05-2024,4474.94,SUCCESS,DEPOSIT,2815,,Canara Bank@,603146.0
TXN02714,MDB01,  Anna Nagar  ,Madurai,07-05-2024,726.59,FAILURE,WITHDRAWAL,1144,Exceeded Limit,Canara Bank@,607481.0
TXN00916,MDB01,  Anna Nagar  ,Madurai,04-05-2024,4232.99,SUCCESS,WITHDRAWAL,8594,,Canara Bank@,639896.0
TXN00579,MDB01,  Anna Nagar  ,Madurai,03-05-2024,2532.77,SUCCESS,DEPOSIT,9583,,Canara Bank@,616894.0
TXN00914,MDB01,  Anna Nagar  ,Madurai,04-05-2024,4838.64,SUCCESS,TRANSFER,9964,,Canara Bank@,619019.0
TXN01275,MDB01,  Anna Nagar  ,Madurai,07-05-2024,805.15,SUCCESS,DEPOSIT,1828,,Canara Bank@,629291.0
