transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00450,CHB04,  Guindy  ,Chennai,03-05-2024,3406.07,SUCCESS,DEPOSIT,8485,,Canara Bank@,617971.0
TXN01787,CHB04,  Guindy  ,Chennai,05-05-2024,2638.48,SUCCESS,DEPOSIT,5673,,Canara Bank@,636363.0
TXN01123,CHB04,  Guindy  ,Chennai,03-05-2024,2796.21,SUCCESS,DEPOSIT,8064,,Canara Bank@,618049.0
TXN00513,CHB04,  Guindy  ,Chennai,07-05-2024,1000.12,SUCCESS,TRANSFER,5844,,Canara Bank@,608278.0
TXN00197,CHB04,  Guindy  ,Chennai,04-05-2024,577.7,SUCCESS,DEPOSIT,8642,,Canara Bank@,602426.0
TXN02977,CHB04,  Guindy  ,Chennai,04-05-2024,1344.11,FAILURE,DEPOSIT,6539,Network Error,Canara Bank@,603798.0
TXN01838,CHB04,  Guindy  ,Chennai,04-05-2024,1438.39,SUCCESS,DEPOSIT,9341,,Canara Bank@,606715.0
TXN00816,CHB04,  Guindy  ,Chennai,04-05-2024,2240.98,SUCCESS,DEPOSIT,3289,,Canara Bank@,611869.0
TXN02344,CHB04,  Guindy  ,Chennai,02-05-2024,4719.34,FAILURE,TRANSFER,6231,Exceeded Limit,Canara Bank@,614329.0
TXN01112,CHB04,  Guindy  ,Chennai,02-05-2024,3767.1,SUCCESS,WITHDRAWAL,3130,,Canara Bank@,639080.0
TXN00472,CHB04,  Guindy  ,Chennai,05-05-2024,1822.16,SUCCESS,TRANSFER,7388,,Canara Bank@,601237.0
TXN02503,CHB04,  Guindy  ,Chennai,03-05-2024,4780.75,FAILURE,TRANSFER,3274,Network Error,Canara Bank@,601733.0
TXN02712,CHB04,  Guindy  ,Chennai,06-05-2024,2796.26,FAILURE,TRANSFER,6017,Exceeded Limit,Canara Bank@,628077.0
TXN02616,CHB04,  Guindy  ,Chennai,04-05-2024,1266.77,FAILURE,TRANSFER,1405,Technical Error,Canara Bank@,605397.0
