transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00240,MDB02,  K.K. Nagar  ,Madurai,06-May-2024,2542.32,SUCCESS,DEPOSIT,2965,,Canara Bank@,629125.0
TXN02876,MDB02,  K.K. Nagar  ,Madurai,06-05-2024,1719.46,FAILURE,TRANSFER,2414,Insufficient Balance,Canara Bank@,600729.0
TXN00268,MDB02,  K.K. Nagar  ,Madurai,01-05-2024,1726.06,SUCCESS,DEPOSIT,7190,,Canara Bank@,626264.0
TXN01501,MDB02,  K.K. Nagar  ,Madurai,02-05-2024,3481.18,SUCCESS,DEPOSIT,1969,,Canara Bank@,616513.0
TXN01135,MDB02,  K.K. Nagar  ,Madurai,07-05-2024,4065.82,SUCCESS,WITHDRAWAL,1036,,Canara Bank@,624650.0
TXN00754,MDB02,  K.K. Nagar  ,Madurai,07-05-2024,4094.31,SUCCESS,DEPOSIT,4372,,Canara Bank@,625976.0
TXN00858,MDB02,  K.K. Nagar  ,Madurai,06-05-2024,4071.92,SUCCESS,WITHDRAWAL,5005,,Canara Bank@,609327.0
TXN02638,MDB02,  K.K. Nagar  ,Madurai,05-05-2024,4765.52,FAILURE,TRANSFER,9049,Invalid Account,Canara Bank@,641908.0
TXN02047,MDB02,  K.K. Nagar  ,Madurai,02-05-2024,2279.85,FAILURE,DEPOSIT,4753,Insufficient Balance,Canara Bank@,631564.0
TXN01499,MDB02,  K.K. Nagar  ,Madurai,02-05-2024,3750.72,SUCCESS,WITHDRAWAL,3662,,Canara Bank@,600080.0
TXN02298,MDB02,  K.K. Nagar  ,Madurai,05-05-2024,1630.47,FAILURE,DEPOSIT,6517,Technical Error,Canara Bank@,641153.0
TXN01491,MDB02,  K.K. Nagar  ,Madurai,01-05-2024,2086.57,SUCCESS,TRANSFER,3039,,Canara Bank@,634227.0
TXN01704,MDB02,  K.K. Nagar  ,Madurai,06-05-2024,4685.73,SUCCESS,DEPOSIT,3933,,Canara Bank@,604922.0
TXN02243,MDB02,  K.K. Nagar  ,Madurai,03-05-2024,1244.02,FAILURE,WITHDRAWAL,4879,Technical Error,Canara Bank@,610450.0
TXN01310,MDB02,  K.K. Nagar  ,Madurai,07-05-2024,3336.42,SUCCESS,WITHDRAWAL,9890,,Canara Bank@,635830.0
TXN02528,MDB02,  K.K. Nagar  ,Madurai,07-05-2024,1594.8,FAILURE,TRANSFER,2198,Network Error,Canara Bank@,609385.0
TXN00370,MDB02,  K.K. Nagar  ,Madurai,06-05-2024,2720.53,SUCCESS,WITHDRAWAL,6658,,Canara Bank@,630018.0
TXN00092,MDB02,  K.K. Nagar  ,Madurai,02-05-2024,1918.01,SUCCESS,DEPOSIT,3730,,Canara Bank@,612278.0
TXN01424,MDB02,  K.K. Nagar  ,Madurai,05-05-2024,3249.62,SUCCESS,TRANSFER,5587,,Canara Bank@,600332.0
TXN01179,MDB02,  K.K. Nagar  ,Madurai,07-05-2024,2651.06,SUCCESS,WITHDRAWAL,6914,,Canara Bank@,608505.0
TXN01715,MDB02,  K.K. Nagar  ,Madurai,04-05-2024,4291.03,SUCCESS,TRANSFER,3800,,Canara Bank@,636999.0
TXN01197,MDB02,  K.K. Nagar  ,Madurai,02-05-2024,4263.52,SUCCESS,DEPOSIT,4279,,Canara Bank@,639753.0
TXN02703,MDB02,  K.K. Nagar  ,Madurai,03-05-2024,2336.39,FAILURE,TRANSFER,8524,Invalid Account,Canara Bank@,619504.0
TXN01117,MDB02,  K.K. Nagar  ,Madurai,02-05-2024,2051.34,SUCCESS,WITHDRAWAL,2781,,Canara Bank@,630618.0
TXN01052,MDB02,  K.K. Nagar  ,Madurai,07-05-2024,1136.37,SUCCESS,DEPOSIT,2475,,Canara Bank@,606199.0
TXN00128,MDB02,  K.K. Nagar  ,Madurai,05-05-2024,3831.91,SUCCESS,WITHDRAWAL,3234,,Canara Bank@,614651.0
TXN01896,MDB02,  K.K. Nagar  ,Madurai,01-05-2024,1508.01,SUCCESS,TRANSFER,7721,,Canara Bank@,620878.0
TXN02594,MDB02,  K.K. Nagar  ,Madurai,06-05-2024,1320.35,FAILURE,DEPOSIT,2244,Invalid Account,Canara Bank@,615983.0
TXN02069,MDB02,  K.K. Nagar  ,Madurai,05-05-2024,551.5,FAILURE,DEPOSIT,7840,Exceeded Limit,Canara Bank@,611157.0
TXN00129,MDB02,  K.K. Nagar  ,Madurai,03-05-2024,3327.08,SUCCESS,TRANSFER,1105,,Canara Bank@,631783.0
TXN02322,MDB02,  K.K. Nagar  ,Madurai,05-05-2024,1686.09,FAILURE,TRANSFER,8262,Exceeded Limit,Canara Bank@,613459.0
TXN00353,MDB02,  K.K. Nagar  ,Madurai,02-05-2024,2749.77,SUCCESS,DEPOSIT,4460,,Canara Bank@,619788.0
TXN02378,MDB02,  K.K. Nagar  ,Madurai,02-05-2024,2109.19,FAILURE,DEPOSIT,5271,Technical Error,Canara Bank@,630015.0
TXN00275,MDB02,  K.K. Nagar  ,Madurai,04-05-2024,577.46,SUCCESS,WITHDRAWAL,7449,,Canara Bank@,624428.0
TXN01435,MDB02,  K.K. Nagar  ,Madurai,07-05-2024,3053.69,SUCCESS,WITHDRAWAL,7769,,Canara Bank@,638870.0
TXN00797,MDB02,  K.K. Nagar  ,Madurai,06-05-2024,4583.79,SUCCESS,WITHDRAWAL,9348,,Canara Bank@,626643.0
