transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00189,CBB03,  Peelamedu  ,Coimbatore,07-05-2024,3889.93,SUCCESS,DEPOSIT,1448,,Canara Bank@,622345.0
TXN01843,CBB03,  Peelamedu  ,Coimbatore,07-05-2024,4824.12,SUCCESS,DEPOSIT,4885,,Canara Bank@,621539.0
TXN02489,CBB03,  Peelamedu  ,Coimbatore,04-05-2024,4521.56,FAILURE,DEPOSIT,7538,Invalid Account,Canara Bank@,609431.0
TXN02669,CBB03,  Peelamedu  ,Coimbatore,02-05-2024,2981.12,FAILURE,TRANSFER,7230,Network Error,Canara Bank@,622541.0
TXN02098,CBB03,  Peelamedu  ,Coimbatore,04-05-2024,1653.83,FAILURE,WITHDRAWAL,8657,Network Error,Canara Bank@,625409.0
TXN01684,CBB03,  Peelamedu  ,Coimbatore,07-05-2024,1267.23,SUCCESS,WITHDRAWAL,3516,,Canara Bank@,601150.0
TXN02662,CBB03,  Peelamedu  ,Coimbatore,06-05-2024,4048.11,FAILURE,WITHDRAWAL,1078,Network Error,Canara Bank@,636847.0
TXN00442,CBB03,  Peelamedu  ,Coimbatore,06-05-2024,3591.32,SUCCESS,DEPOSIT,4171,,Canara Bank@,607125.0
TXN02305,CBB03,  Peelamedu  ,Coimbatore,06-05-2024,2852.06,FAILURE,DEPOSIT,4300,Insufficient Balance,Canara Bank@,632825.0
TXN02998,CBB03,  Peelamedu  ,Coimbatore,07-05-2024,1743.55,FAILURE,DEPOSIT,3319,Technical Error,Canara Bank@,615199.0
TXN00807,CBB03,  Peelamedu  ,Coimbatore,05-05-2024,2407.32,SUCCESS,TRANSFER,4085,,Canara Bank@,640178.0
TXN01184,CBB03,  Peelamedu  ,Coimbatore,05-05-2024,3344.78,SUCCESS,TRANSFER,7913,,Canara Bank@,623837.0
TXN01884,CBB03,  Peelamedu  ,Coimbatore,05-05-2024,2930.22,SUCCESS,DEPOSIT,7263,,Canara Bank@,602429.0
TXN02142,CBB03,  Peelamedu  ,Coimbatore,02-05-2024,540.3,FAILURE,TRANSFER,5362,Technical Error,Canara Bank@,629580.0
TXN00355,CBB03,  Peelamedu  ,Coimbatore,04-05-2024,3538.73,SUCCESS,WITHDRAWAL,1570,,Canara Bank@,617107.0
TXN01256,CBB03,  Peelamedu  ,Coimbatore,05-05-2024,791.97,SUCCESS,WITHDRAWAL,6702,,Canara Bank@,624378.0
TXN02921,CBB03,  Peelamedu  ,Coimbatore,04-05-2024,4463.38,FAILURE,WITHDRAWAL,5014,Technical Error,Canara Bank@,610109.0
TXN01839,CBB03,  Peelamedu  ,Coimbatore,06-05-2024,1717.65,SUCCESS,DEPOSIT,9664,,Canara Bank@,637947.0
TXN02081,CBB03,  Peelamedu  ,Coimbatore,02-05-2024,4724.11,FAILURE,TRANSFER,2624,Exceeded Limit,Canara Bank@,622870.0
TXN02564,CBB03,  Peelamedu  ,Coimbatore,05-05-2024,724.72,FAILURE,DEPOSIT,1196,Insufficient Balance,Canara Bank@,626432.0
TXN01343,CBB03,  Peelamedu  ,Coimbatore,07-05-2024,2319.96,SUCCESS,WITHDRAWAL,3143,,Canara Bank@,641520.0
TXN00488,CBB03,  Peelamedu  ,Coimbatore,01-05-2024,1133.31,SUCCESS,DEPOSIT,3905,,Canara Bank@,
TXN00835,CBB03,  Peelamedu  ,Coimbatore,04-05-2024,592.22,SUCCESS,WITHDRAWAL,8296,,Canara Bank@,627797.0
TXN00084,CBB03,  Peelamedu  ,Coimbatore,03-05-2024,940.16,SUCCESS,TRANSFER,7267,,Canara Bank@,627695.0
TXN01043,CBB03,  Peelamedu  ,Coimbatore,07-05-2024,1807.75,SUCCESS,DEPOSIT,4057,,Canara Bank@,626430.0
TXN02386,CBB03,  Peelamedu  ,Coimbatore,02-05-2024,1988.01,FAILURE,WITHDRAWAL,1866,Exceeded Limit,Canara Bank@,635909.0
TXN01304,CBB03,  Peelamedu  ,Coimbatore,06-05-2024,4521.93,SUCCESS,TRANSFER,4672,,Canara Bank@,621844.0
TXN00111,CBB03,  Peelamedu  ,Coimbatore,01-05-2024,2436.45,SUCCESS,TRANSFER,1010,,Canara Bank@,603271.0
TXN00661,CBB03,  Peelamedu  ,Coimbatore,02-05-2024,4743.08,SUCCESS,TRANSFER,5285,,Canara Bank@,636201.0
TXN02493,CBB03,  Peelamedu  ,Coimbatore,03-05-2024,2569.24,FAILURE,WITHDRAWAL,3954,Invalid Account,Canara Bank@,600600.0
TXN00220,CBB03,  Peelamedu  ,Coimbatore,03-05-2024,1912.3,SUCCESS,DEPOSIT,7692,,Canara Bank@,627593.0
