transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN01326,CBB05,  Singanallur  ,Coimbatore,02-05-2024,$4636.03,SUCCESS,TRANSFER,7169,,Canara Bank@,617369.0
TXN02552,CBB05,  Singanallur  ,Coimbatore,03-05-2024,INR 1069.25,FAILURE,WITHDRAWAL,9898,Network Error,Canara Bank@,613409.0
TXN01154,CBB05,  Singanallur  ,Coimbatore,01-05-2024,2293.67,SUCCESS,DEPOSIT,4890,,Canara Bank@,624162.0
TXN01622,CBB05,  Singanallur  ,Coimbatore,04-05-2024,1782.9,SUCCESS,TRANSFER,5417,,Canara Bank@,626865.0
TXN01473,CBB05,  Singanallur  ,Coimbatore,03-05-2024,3624.75,SUCCESS,DEPOSIT,4568,,Canara Bank@,612704.0
TXN02899,CBB05,  Singanallur  ,Coimbatore,06-05-2024,3966.0,FAILURE,WITHDRAWAL,7225,Network Error,Canara Bank@,638863.0
TXN02866,CBB05,  Singanallur  ,Coimbatore,01-05-2024,3522.73,FAILURE,DEPOSIT,1777,Technical Error,Canara Bank@,626691.0
TXN01312,CBB05,  Singanallur  ,Coimbatore,06-05-2024,2758.14,SUCCESS,TRANSFER,1673,,Canara Bank@,628568.0
TXN02139,CBB05,  Singanallur  ,Coimbatore,06-05-2024,4195.94,FAILURE,WITHDRAWAL,1096,Insufficient Balance,Canara Bank@,611708.0
TXN01571,CBB05,  Singanallur  ,Coimbatore,04-05-2024,4045.6,SUCCESS,DEPOSIT,9284,,Canara Bank@,610381.0
TXN00294,CBB05,  Singanallur  ,Coimbatore,02-05-2024,2052.31,SUCCESS,DEPOSIT,4156,,Canara Bank@,617995.0
TXN01341,CBB05,  Singanallur  ,Coimbatore,01-05-2024,3070.45,SUCCESS,WITHDRAWAL,6225,,Canara Bank@,614466.0
TXN00272,CBB05,  Singanallur  ,Coimbatore,06-05-2024,605.44,SUCCESS,WITHDRAWAL,8518,,Canara Bank@,613282.0
TXN02577,CBB05,  Singanallur  ,Coimbatore,07-05-2024,1436.08,FAILURE,DEPOSIT,1105,Network Error,Canara Bank@,633780.0
TXN02156,CBB05,  Singanallur  ,Coimbatore,06-05-2024,2648.57,FAILURE,WITHDRAWAL,9433,Exceeded Limit,Canara Bank@,632469.0
TXN01522,CBB05,  Singanallur  ,Coimbatore,04-05-2024,1252.74,SUCCESS,DEPOSIT,3121,,Canara Bank@,611072.0
TXN00766,CBB05,  Singanallur  ,Coimbatore,05-05-2024,4638.0,SUCCESS,TRANSFER,1686,,Canara Bank@,632201.0
TXN01445,CBB05,  Singanallur  ,Coimbatore,05-05-2024,1378.54,SUCCESS,WITHDRAWAL,3897,,Canara Bank@,620836.0
TXN02545,CBB05,  Singanallur  ,Coimbatore,04-05-2024,4360.86,FAILURE,DEPOSIT,7120,Insufficient Balance,Canara Bank@,634063.0
TXN01826,CBB05,  Singanallur  ,Coimbatore,03-05-2024,4889.42,SUCCESS,WITHDRAWAL,2480,,Canara Bank@,624034.0
TXN00696,CBB05,  Singanallur  ,Coimbatore,02-05-2024,3686.47,SUCCESS,TRANSFER,4883,,Canara Bank@,616325.0
TXN01807,CBB05,  Singanallur  ,Coimbatore,05-05-2024,1846.62,SUCCESS,WITHDRAWAL,6385,,Canara Bank@,606481.0
TXN02525,CBB05,  Singanallur  ,Coimbatore,06-05-2024,1780.18,FAILURE,TRANSFER,7023,Exceeded Limit,Canara Bank@,614462.0
TXN02849,CBB05,  Singanallur  ,Coimbatore,03-05-2024,1769.12,FAILURE,DEPOSIT,3727,Network Error,Canara Bank@,633067.0
TXN00559,CBB05,  Singanallur  ,Coimbatore,05-05-2024,4992.68,SUCCESS,DEPOSIT,7755,,Canara Bank@,612194.0
TXN02917,CBB05,  Singanallur  ,Coimbatore,01-05-2024,3054.77,FAILURE,TRANSFER,5162,Exceeded Limit,Canara Bank@,603232.0
TXN00772,CBB05,  Singanallur  ,Coimbatore,07-05-2024,3668.18,SUCCESS,WITHDRAWAL,4548,,Canara Bank@,640221.0
TXN01964,CBB05,  Singanallur  ,Coimbatore,02-05-2024,3677.76,FAILURE,DEPOSIT,8742,Network Error,Canara Bank@,636577.0
TXN00787,CBB05,  Singanallur  ,Coimbatore,03-05-2024,2650.46,SUCCESS,TRANSFER,4039,,Canara Bank@,638150.0
TXN02458,CBB05,  Singanallur  ,Coimbatore,05-05-2024,4918.89,FAILURE,TRANSFER,4619,Insufficient Balance,Canara Bank@,602008.0
TXN02153,CBB05,  Singanallur  ,Coimbatore,05-05-2024,1079.65,FAILURE,WITHDRAWAL,7831,Exceeded Limit,Canara Bank@,604763.0
TXN00289,CBB05,  Singanallur  ,Coimbatore,06-05-2024,1420.08,SUCCESS,TRANSFER,7082,,Canara Bank@,634039.0
TXN01145,CBB05,  Singanallur  ,Coimbatore,03-05-2024,4307.61,SUCCESS,TRANSFER,9391,,Canara Bank@,636277.0
TXN00192,CBB05,  Singanallur  ,Coimbatore,06-05-2024,3057.36,SUCCESS,TRANSFER,5261,,Canara Bank@,610653.0
TXN02867,CBB05,  Singanallur  ,Coimbatore,05-05-2024,1863.86,FAILURE,WITHDRAWAL,6239,Exceeded Limit,Canara Bank@,626659.0
TXN00101,CBB05,  Singanallur  ,Coimbatore,06-05-2024,3379.1,SUCCESS,DEPOSIT,7722,,Canara Bank@,614435.0
TXN01443,CBB05,  Singanallur  ,Coimbatore,01-05-2024,2325.34,SUCCESS,WITHDRAWAL,9940,,Canara Bank@,628536.0
TXN01165,CBB05,  Singanallur  ,Coimbatore,05-05-2024,4017.57,SUCCESS,WITHDRAWAL,2674,,Canara Bank@,614651.0
TXN00896,CBB05,  Singanallur  ,Coimbatore,02-05-2024,3600.64,SUCCESS,DEPOSIT,7445,,Canara Bank@,622195.0
TXN01892,CBB05,  Singanallur  ,Coimbatore,07-05-2024,3052.64,SUCCESS,DEPOSIT,8162,,Canara Bank@,619712.0
TXN02785,CBB05,  Singanallur  ,Coimbatore,05-05-2024,3220.29,FAILURE,DEPOSIT,5216,Network Error,Canara Bank@,630975.0
TXN02166,CBB05,  Singanallur  ,Coimbatore,06-05-2024,3420.34,FAILURE,DEPOSIT,9496,Network Error,Canara Bank@,615305.0
TXN01485,CBB05,  Singanallur  ,Coimbatore,07-05-2024,1337.31,SUCCESS,DEPOSIT,7938,,Canara Bank@,620427.0
TXN01144,CBB05,  Singanallur  ,Coimbatore,06-05-2024,3611.33,SUCCESS,TRANSFER,5781,,Canara Bank@,608519.0
TXN01035,CBB05,  Singanallur  ,Coimbatore,01-05-2024,4505.92,SUCCESS,TRANSFER,1081,,Canara Bank@,617145.0
TXN01358,CBB05,  Singanallur  ,Coimbatore,03-05-2024,4881.66,SUCCESS,TRANSFER,3765,,Canara Bank@,624150.0
TXN00697,CBB05,  Singanallur  ,Coimbatore,04-05-2024,4507.51,SUCCESS,WITHDRAWAL,9371,,Canara Bank@,606265.0
TXN00362,CBB05,  Singanallur  ,Coimbatore,07-05-2024,2225.62,SUCCESS,TRANSFER,2310,,Canara Bank@,609856.0
TXN01561,CBB05,  Singanallur  ,Coimbatore,07-05-2024,3323.96,SUCCESS,DEPOSIT,9099,,Canara Bank@,610780.0
TXN01870,CBB05,  Singanallur  ,Coimbatore,01-05-2024,616.99,SUCCESS,WITHDRAWAL,4542,,Canara Bank@,
TXN01028,CBB05,  Singanallur  ,Coimbatore,03-05-2024,2885.16,SUCCESS,WITHDRAWAL,7188,,Canara Bank@,636897.0
TXN02086,CBB05,  Singanallur  ,Coimbatore,05-05-2024,3040.84,FAILURE,DEPOSIT,5911,Network Error,Canara Bank@,602699.0
TXN00186,CBB05,  Singanallur  ,Coimbatore,04-05-2024,2729.11,SUCCESS,WITHDRAWAL,7302,,Canara Bank@,629100.0
TXN01337,CBB05,  Singanallur  ,Coimbatore,05-05-2024,1625.98,SUCCESS,DEPOSIT,5805,,Canara Bank@,624664.0
TXN01777,CBB05,  Singanallur  ,Coimbatore,01-05-2024,2518.82,SUCCESS,DEPOSIT,6504,,Canara Bank@,603423.0
TXN02753,CBB05,  Singanallur  ,Coimbatore,02-05-2024,2037.86,FAILURE,WITHDRAWAL,4840,Technical Error,Canara Bank@,638404.0
TXN00758,CBB05,  Singanallur  ,Coimbatore,06-05-2024,4187.12,SUCCESS,DEPOSIT,6752,,Canara Bank@,626739.0
TXN02345,CBB05,  Singanallur  ,Coimbatore,06-05-2024,1437.41,FAILURE,DEPOSIT,6817,Technical Error,Canara Bank@,632652.0
TXN02148,CBB05,  Singanallur  ,Coimbatore,04-05-2024,4991.35,FAILURE,DEPOSIT,9483,Invalid Account,Canara Bank@,618118.0
TXN01182,CBB05,  Singanallur  ,Coimbatore,05-05-2024,2369.81,SUCCESS,WITHDRAWAL,9829,,Canara Bank@,628981.0
TXN02328,CBB05,  Singanallur  ,Coimbatore,01-05-2024,4428.84,FAILURE,DEPOSIT,8449,Technical Error,Canara Bank@,608648.0
TXN01403,CBB05,  Singanallur  ,Coimbatore,02-05-2024,1823.9,SUCCESS,DEPOSIT,7191,,Canara Bank@,635016.0
TXN00879,CBB05,  Singanallur  ,Coimbatore,03-05-2024,2744.93,SUCCESS,TRANSFER,7630,,Canara Bank@,603362.0
TXN01376,CBB05,  Singanallur  ,Coimbatore,05-05-2024,1478.49,SUCCESS,TRANSFER,2755,,Canara Bank@,601021.0
