transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN01954,CHB02,  Velachery  ,Chennai,01-05-2024,1224.49,FAILURE,WITHDRAWAL,6095,Network Error,Canara Bank@,618283.0
TXN01270,CHB02,  Velachery  ,Chennai,01-05-2024,3025.66,SUCCESS,WITHDRAWAL,4259,,Canara Bank@,613132.0
TXN02394,CHB02,  Velachery  ,Chennai,03-05-2024,668.11,FAILURE,WITHDRAWAL,4802,Technical Error,Canara Bank@,608552.0
TXN02443,CHB02,  Velachery  ,Chennai,05-05-2024,2219.71,FAILURE,DEPOSIT,6307,Exceeded Limit,Canara Bank@,606481.0
TXN01955,CHB02,  Velachery  ,Chennai,02-05-2024,4384.35,FAILURE,DEPOSIT,7577,Insufficient Balance,Canara Bank@,620379.0
TXN01677,CHB02,  Velachery  ,Chennai,03-05-2024,1824.92,SUCCESS,WITHDRAWAL,1303,,Canara Bank@,619971.0
TXN00248,CHB02,  Velachery  ,Chennai,06-05-2024,4441.39,SUCCESS,TRANSFER,4509,,Canara Bank@,600210.0
TXN02160,CHB02,  Velachery  ,Chennai,04-05-2024,544.3,FAILURE,DEPOSIT,2089,Invalid Account,Canara Bank@,619497.0
TXN02950,CHB02,  Velachery  ,Chennai,02-05-2024,3837.49,FAILURE,TRANSFER,5947,Exceeded Limit,Canara Bank@,600124.0
TXN02928,CHB02,  Velachery  ,Chennai,04-05-2024,1320.77,FAILURE,WITHDRAWAL,4564,Technical Error,Canara Bank@,624300.0
TXN01758,CHB02,  Velachery  ,Chennai,04-05-2024,2175.63,SUCCESS,TRANSFER,3013,,Canara Bank@,603120.0
TXN02767,CHB02,  Velachery  ,Chennai,03-05-2024,1096.72,FAILURE,DEPOSIT,3797,Invalid Account,Canara Bank@,606165.0
TXN00793,CHB02,  Velachery  ,Chennai,07-05-2024,2794.41,SUCCESS,DEPOSIT,8826,,Canara Bank@,633646.0
TXN00131,CHB02,  Velachery  ,Chennai,02-05-2024,966.23,SUCCESS,DEPOSIT,9287,,Canara Bank@,629086.0
TXN02750,CHB02,  Velachery  ,Chennai,04-05-2024,4644.15,FAILURE,DEPOSIT,2259,Exceeded Limit,Canara Bank@,640234.0
TXN00998,CHB02,  Velachery  ,Chennai,02-05-2024,3818.64,SUCCESS,TRANSFER,3939,,Canara Bank@,612836.0
TXN00637,CHB02,  Velachery  ,Chennai,03-05-2024,2982.62,SUCCESS,DEPOSIT,7296,,Canara Bank@,633915.0
TXN00648,CHB02,  Velachery  ,Chennai,04-05-2024,936.81,SUCCESS,DEPOSIT,3221,,Canara Bank@,624966.0
TXN02544,CHB02,  Velachery  ,Chennai,03-05-2024,4518.41,FAILURE,WITHDRAWAL,1102,Invalid Account,Canara Bank@,622603.0
TXN01246,CHB02,  Velachery  ,Chennai,04-05-2024,1033.93,SUCCESS,WITHDRAWAL,4125,,Canara Bank@,627779.0
TXN00936,CHB02,  Velachery  ,Chennai,02-05-2024,3294.84,SUCCESS,WITHDRAWAL,2096,,Canara Bank@,614861.0
TXN00285,CHB02,  Velachery  ,Chennai,05-05-2024,3866.67,SUCCESS,DEPOSIT,4233,,Canara Bank@,628679.0
TXN00999,CHB02,  Velachery  ,Chennai,02-05-2024,1827.5,SUCCESS,DEPOSIT,8364,,Canara Bank@,614787.0
