transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
txn02055,mdb04,simmakkal,madurai,2024-05-06,1128.46,failure,withdrawal,3078,invalid account,canara bank,616471.0
txn00825,cbb02,rs puram,coimbatore,2024-05-02,2567.78,success,deposit,3843,"",canara bank,614441.0
txn01708,mdb04,simmakkal,madurai,2024-05-02,4214.22,success,withdrawal,5549,"",canara bank,637708.0
txn02046,cbb01,gandhipuram,coimbatore,2024-05-05,1414.17,failure,withdrawal,6601,technical error,canara bank,606409.0
txn01335,mdb05,tallakulam,madurai,2024-05-03,1974.44,success,transfer,1914,"",canara bank,624838.0
txn02995,cbb01,gandhipuram,coimbatore,2024-05-04,1747.72,failure,deposit,6441,network error,canara bank,604390.0
txn02806,chb03,adyar,chennai,2024-05-02,4079.32,failure,withdrawal,2181,exceeded limit,canara bank,635197.0
txn00151,chb05,tambaram,chennai,2024-05-05,1398.8,success,withdrawal,9046,"",canara bank,628673.0
txn02214,chb01,t nagar,chennai,2024-05-07,3833.51,failure,transfer,1472,network error,canara bank,623910.0
txn01574,mdb05,tallakulam,madurai,2024-05-06,4828.59,success,transfer,2468,"",canara bank,632309.0
txn02569,chb01,t nagar,chennai,2024-05-05,3070.79,failure,withdrawal,8185,invalid account,canara bank,637955.0
txn02651,mdb04,simmakkal,madurai,2024-05-03,4673.65,failure,transfer,4254,invalid account,canara bank,633206.0
txn00907,mdb02,k.k. nagar,madurai,2024-05-01,4411.28,success,deposit,5105,"",canara bank,627250.0
txn00507,chb05,tambaram,chennai,2024-05-04,2677.3,success,withdrawal,4076,"",canara bank,641204.0
txn01393,mdb02,k.k. nagar,madurai,2024-05-06,4745.32,success,transfer,9361,"",canara bank,603105.0
txn00532,mdb04,simmakkal,madurai,2024-05-07,3657.2,success,withdrawal,7908,"",canara bank,603713.0
txn01323,chb03,adyar,chennai,2024-05-05,2922.08,success,transfer,1685,"",canara bank,635829.0
txn01805,mdb01,anna nagar,madurai,2024-05-07,1119.47,success,transfer,9854,"",canara bank,612291.0
txn00332,mdb02,k.k. nagar,madurai,2024-05-03,1482.15,success,withdrawal,1515,"",canara bank,607557.0
txn01810,mdb05,tallakulam,madurai,2024-05-03,3883.93,success,transfer,2869,"",canara bank,605369.0
txn01882,chb02,velachery,chennai,2024-05-02,2616.46,success,deposit,8628,"",canara bank,639498.0
txn00293,cbb03,peelamedu,coimbatore,2024-05-01,774.99,success,withdrawal,3563,"",canara bank,604376.0
txn01981,chb01,t nagar,chennai,2024-05-03,4607.94,failure,transfer,7964,technical error,canara bank,604889.0
txn02456,cbb03,peelamedu,coimbatore,2024-05-04,3742.99,failure,deposit,8643,technical error,canara bank,635574.0
txn00997,mdb01,anna nagar,madurai,2024-05-06,3072.67,success,transfer,5509,"",canara bank,612619.0
txn02760,cbb04,saibaba colony,coimbatore,2024-05-02,3991.91,failure,transfer,4970,insufficient balance,canara bank,630822.0
