transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
txn02055,mdb04,simmakkal,madurai,2024-05-06,1128.46,failure,withdrawal,3078,invalid account,canara bank,616471.0
txn02046,cbb01,gandhipuram,coimbatore,2024-05-05,1414.17,failure,withdrawal,6601,technical error,canara bank,606409.0
txn02995,cbb01,gandhipuram,coimbatore,2024-05-04,1747.72,failure,deposit,6441,network error,canara bank,604390.0
txn02806,chb03,adyar,chennai,2024-05-02,4079.32,failure,withdrawal,2181,exceeded limit,canara bank,635197.0
txn02214,chb01,t nagar,chennai,2024-05-07,3833.51,failure,transfer,1472,network error,canara bank,623910.0
txn02569,chb01,t nagar,chennai,2024-05-05,3070.79,failure,withdrawal,8185,invalid account,canara bank,637955.0
txn02651,mdb04,simmakkal,madurai,2024-05-03,4673.65,failure,transfer,4254,invalid account,canara bank,633206.0
txn01981,chb01,t nagar,chennai,2024-05-03,4607.94,failure,transfer,7964,technical error,canara bank,604889.0
txn02456,cbb03,peelamedu,coimbatore,2024-05-04,3742.99,failure,deposit,8643,technical error,canara bank,635574.0
txn02760,cbb04,saibaba colony,coimbatore,2024-05-02,3991.91,failure,transfer,4970,insufficient balance,canara bank,630822.0
txn02624,cbb02,rs puram,coimbatore,2024-05-06,2888.47,failure,deposit,7703,network error,canara bank,628341.0
txn02585,chb04,guindy,chennai,2024-05-06,2767.79,failure,withdrawal,4250,insufficient balance,canara bank,639489.0
txn02202,cbb02,rs puram,coimbatore,2024-05-02,581.4,failure,deposit,8706,insufficient balance,canara bank,631199.0
txn02454,chb04,guindy,chennai,2024-05-05,1639.72,failure,withdrawal,6523,network error,canara bank,621180.0
txn02043,mdb04,simmakkal,madurai,2024-05-03,4584.53,failure,transfer,3193,insufficient balance,canara bank,607727.0
txn02521,chb04,guindy,chennai,2024-05-06,833.81,failure,transfer,1980,network error,canara bank,608654.0
txn02982,chb02,velachery,chennai,2024-05-04,1260.43,failure,deposit,7376,insufficient balance,canara bank,612819.0
txn01956,mdb05,tallakulam,madurai,2024-05-04,518.86,failure,deposit,9137,network error,canara bank,606586.0
txn02958,cbb05,singanallur,coimbatore,2024-05-02,4748.72,failure,withdrawal,6141,insufficient balance,canara bank,626075.0
txn02858,chb01,t nagar,chennai,2024-05-05,1491.53,failure,transfer,2502,technical error,canara bank,602691.0
txn02513,cbb01,gandhipuram,coimbatore,2024-05-06,2522.74,failure,transfer,3336,network error,canara bank,600031.0
txn02333,cbb04,saibaba colony,coimbatore,2024-05-01,4101.65,failure,withdrawal,4868,insufficient balance,canara bank,611195.0
txn01974,mdb04,simmakkal,madurai,2024-05-05,2085.85,failure,withdrawal,5252,exceeded limit,canara bank,630944.0
txn01985,mdb01,anna nagar,madurai,2024-05-01,514.13,failure,deposit,2941,invalid account,canara bank,632681.0
txn02757,cbb02,rs puram,coimbatore,2024-05-01,4185.05,failure,deposit,4078,exceeded limit,canara bank,602446.0
txn02918,chb05,tambaram,chennai,2024-05-01,1735.67,failure,deposit,4220,invalid account,canara bank,636278.0
txn02317,mdb05,tallakulam,madurai,2024-05-03,4144.64,failure,withdrawal,6291,invalid account,canara bank,604627.0
txn02755,chb02,velachery,chennai,2024-05-03,3997.38,failure,withdrawal,2734,exceeded limit,canara bank,617848.0
txn02143,cbb01,gandhipuram,coimbatore,2024-05-02,3245.2,failure,transfer,8354,insufficient balance,canara bank,""
txn02423,chb05,tambaram,chennai,2024-05-07,1840.33,failure,withdrawal,7502,network error,canara bank,621189.0
txn02952,mdb04,simmakkal,madurai,2024-05-06,3154.4,failure,transfer,5023,invalid account,canara bank,608159.0
txn02347,chb05,tambaram,chennai,2024-05-04,4827.79,failure,transfer,4414,insufficient balance,canara bank,608960.0
txn02652,chb03,adyar,chennai,2024-05-05,3836.34,failure,deposit,6786,technical error,canara bank,628113.0
txn02587,mdb03,thirunagar,madurai,2024-05-02,1370.58,failure,transfer,5755,exceeded limit,canara bank,614196.0
txn02338,cbb01,gandhipuram,coimbatore,2024-05-06,4638.86,failure,deposit,3496,network error,canara bank,621149.0
txn02544,chb02,velachery,chennai,2024-05-03,4518.41,failure,withdrawal,1102,invalid account,canara bank,622603.0
txn02475,cbb01,gandhipuram,coimbatore,2024-05-06,3650.94,failure,transfer,6888,exceeded limit,canara bank,636473.0
txn02056,chb02,velachery,chennai,2024-05-01,2757.73,failure,deposit,5167,invalid account,canara bank,635370.0
txn02344,chb04,guindy,chennai,2024-05-02,4719.34,failure,transfer,6231,exceeded limit,canara bank,614329.0
txn02242,chb04,guindy,chennai,2024-05-07,4530.96,failure,withdrawal,7161,technical error,canara bank,638912.0
txn02506,chb02,velachery,chennai,2024-05-07,2097.28,failure,deposit,4529,insufficient balance,canara bank,615115.0
txn02722,cbb04,saibaba colony,coimbatore,2024-05-05,1484.41,failure,deposit,7099,invalid account,canara bank,632403.0
txn02625,mdb05,tallakulam,madurai,2024-05-06,3500.46,failure,deposit,2438,exceeded limit,canara bank,641936.0
txn02114,cbb02,rs puram,coimbatore,2024-05-02,4275.21,failure,deposit,7589,network error,canara bank,637872.0
txn02028,cbb04,saibaba colony,coimbatore,2024-05-04,2278.1,failure,withdrawal,3812,exceeded limit,canara bank,610893.0
txn02153,cbb05,singanallur,coimbatore,2024-05-05,1079.65,failure,withdrawal,7831,exceeded limit,canara bank,604763.0
txn02623,cbb04,saibaba colony,coimbatore,2024-05-04,2655.21,failure,deposit,9340,exceeded limit,canara bank,631374.0
txn02619,chb01,t nagar,chennai,2024-05-01,4907.65,failure,transfer,9986,network error,canara bank,616025.0
txn02102,cbb01,gandhipuram,coimbatore,2024-05-06,2544.9,failure,transfer,7308,insufficient balance,canara bank,619010.0
txn02518,cbb04,saibaba colony,coimbatore,2024-05-04,3701.74,failure,withdrawal,1957,invalid account,canara bank,611587.0
txn02235,cbb03,peelamedu,coimbatore,2024-05-04,4483.29,failure,transfer,4851,network error,canara bank,621121.0
txn02249,chb04,guindy,chennai,2024-05-01,4616.77,failure,withdrawal,6301,exceeded limit,canara bank,637251.0
txn01959,cbb01,gandhipuram,coimbatore,2024-05-01,1444.35,failure,withdrawal,2913,network error,canara bank,607009.0
txn02174,mdb05,tallakulam,madurai,2024-05-03,4326.89,failure,deposit,1208,insufficient balance,canara bank,632520.0
txn02583,cbb02,rs puram,coimbatore,2024-05-05,4392.63,failure,deposit,8926,exceeded limit,canara bank,630746.0
txn01986,cbb03,peelamedu,coimbatore,2024-05-07,4971.31,failure,withdrawal,9283,technical error,canara bank,627820.0
txn02888,chb05,tambaram,chennai,2024-05-05,2714.62,failure,transfer,9363,exceeded limit,canara bank,624964.0
txn02934,mdb05,tallakulam,madurai,2024-05-02,2840.06,failure,transfer,5006,technical error,canara bank,622043.0
txn02377,cbb04,saibaba colony,coimbatore,2024-05-06,3825.22,failure,deposit,7124,exceeded limit,canara bank,619164.0
txn01987,chb03,adyar,chennai,2024-05-04,1610.52,failure,withdrawal,6258,insufficient balance,canara bank,608967.0
txn02403,mdb04,simmakkal,madurai,2024-05-06,4572.1,failure,deposit,5533,technical error,canara bank,636055.0
txn02148,cbb05,singanallur,coimbatore,2024-05-04,4991.35,failure,deposit,9483,invalid account,canara bank,618118.0
txn02121,cbb05,singanallur,coimbatore,2024-05-05,4902.78,failure,withdrawal,1438,exceeded limit,canara bank,639244.0
txn02993,mdb05,tallakulam,madurai,2024-05-04,3572.05,failure,deposit,2132,invalid account,canara bank,636612.0
txn02078,chb01,t nagar,chennai,2024-05-05,1965.04,failure,withdrawal,3842,network error,canara bank,617785.0
txn02445,mdb03,thirunagar,madurai,2024-05-07,4176.11,failure,deposit,5971,exceeded limit,canara bank,600283.0
