transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN01499,MDB02,K.K. Nagar,Madurai,02-05-2024,3750.72,SUCCESS,WITHDRAWAL,3662,"",Canara Bank@,600080.0
TXN01657,CBB02,RS Puram,Coimbatore,01-05-2024,1071.75,SUCCESS,WITHDRAWAL,8511,"",Canara Bank@,604464.0
TXN02253,CHB04,Guindy,Chennai,06-05-2024,2778.04,FAILURE,DEPOSIT,7527,Exceeded Limit,Canara Bank@,619579.0
TXN02359,CHB04,Guindy,Chennai,07-05-2024,3354.87,FAILURE,TRANSFER,1484,Technical Error,Canara Bank@,638348.0
TXN01962,CHB05,Tambaram,Chennai,06-05-2024,1782.03,FAILURE,TRANSFER,8645,Technical Error,Canara Bank@,621539.0
TXN00309,MDB03,Thirunagar,Madurai,03-05-2024,923.49,SUCCESS,WITHDRAWAL,5157,"",Canara Bank@,632952.0
TXN01065,MDB04,Simmakkal,Madurai,03-05-2024,4271.29,SUCCESS,TRANSFER,3282,"",Canara Bank@,626692.0
TXN02243,MDB02,K.K. Nagar,Madurai,03-05-2024,1244.02,FAILURE,WITHDRAWAL,4879,Technical Error,Canara Bank@,610450.0
TXN00843,MDB04,Simmakkal,Madurai,04-05-2024,4527.15,SUCCESS,DEPOSIT,1281,"",Canara Bank@,612805.0
TXN02055,MDB04,Simmakkal,Madurai,06-05-2024,1128.46,FAILURE,WITHDRAWAL,3078,Invalid Account,Canara Bank@,616471.0
TXN02757,CBB02,RS Puram,Coimbatore,01-05-2024,4185.05,FAILURE,DEPOSIT,4078,Exceeded Limit,Canara Bank@,602446.0
TXN01477,CHB04,Guindy,Chennai,03-05-2024,1647.97,SUCCESS,WITHDRAWAL,4008,"",Canara Bank@,618735.0
TXN01087,MDB03,Thirunagar,Madurai,02-05-2024,2908.69,SUCCESS,WITHDRAWAL,7293,"",Canara Bank@,641732.0
TXN01729,MDB04,Simmakkal,Madurai,05-05-2024,4339.53,SUCCESS,TRANSFER,5046,"",Canara Bank@,635457.0
TXN02769,MDB02,K.K. Nagar,Madurai,02-05-2024,3800.84,FAILURE,WITHDRAWAL,6122,Invalid Account,Canara Bank@,600945.0
TXN02535,CBB02,RS Puram,Coimbatore,03-05-2024,1921.65,FAILURE,WITHDRAWAL,4614,Network Error,Canara Bank@,632048.0
TXN02604,CBB02,RS Puram,Coimbatore,07-05-2024,2833.01,FAILURE,WITHDRAWAL,7436,Technical Error,Canara Bank@,621829.0
TXN00688,CBB02,RS Puram,Coimbatore,04-05-2024,4860.95,SUCCESS,DEPOSIT,6789,"",Canara Bank@,606948.0
TXN01515,CHB05,Tambaram,Chennai,04-05-2024,2263.47,SUCCESS,DEPOSIT,2329,"",Canara Bank@,613306.0
TXN00204,MDB03,Thirunagar,Madurai,05-05-2024,3732.44,SUCCESS,TRANSFER,4845,"",Canara Bank@,622920.0
TXN02421,MDB04,Simmakkal,Madurai,07-05-2024,2668.88,FAILURE,TRANSFER,1312,Technical Error,Canara Bank@,609171.0
TXN01305,MDB04,Simmakkal,Madurai,03-05-2024,981.54,SUCCESS,WITHDRAWAL,7523,"",Canara Bank@,611910.0
